f_number,reference_height_fraction,frequency_lp_mm,direction,reference,model,model_minus_reference,sampling
5.6,0.5,20,T,0.06,0.05274752273442592,-0.007252477265574077,1024
5.6,0.5,20,S,0.27,0.29490513101473137,0.024905131014731352,1024
5.6,0.6,5,T,0.425,0.49674028475268395,0.07174028475268396,1024
5.6,0.6,5,S,0.575,0.4903609986370858,-0.08463900136291413,1024
5.6,0.6,10,T,0.215,0.28735346646965176,0.07235346646965177,1024
5.6,0.6,10,S,0.32,0.4026996782447297,0.08269967824472968,1024
5.6,0.6,20,T,0.085,0.106120185109905,0.021120185109904988,1024
5.6,0.6,20,S,0.24,0.2699898135261554,0.02998981352615543,1024
5.6,0.68,5,T,0.39,0.4899338233425578,0.09993382334255779,1024
5.6,0.68,5,S,0.525,0.46777627456991655,-0.05722372543008347,1024
5.6,0.68,10,T,0.2,0.3142563543089012,0.11425635430890119,1024
5.6,0.68,10,S,0.285,0.3828674126525782,0.0978674126525782,1024
5.6,0.68,20,T,0.09,0.14403786271365246,0.05403786271365246,1024
5.6,0.68,20,S,0.2,0.26318136233487954,0.06318136233487953,1024
8,0,5,T,0.94,0.9537754206693209,0.013775420669320915,512
8,0,5,S,0.94,0.9537754206693209,0.013775420669320915,512
8,0,10,T,0.87,0.8761851079617965,0.006185107961796499,512
8,0,10,S,0.87,0.8761851079617965,0.006185107961796499,512
8,0,20,T,0.69,0.6740989784640796,-0.015901021535920323,512
8,0,20,S,0.69,0.6740989784640796,-0.015901021535920323,512
8,0.1,5,T,0.87,0.9450893676312156,0.07508936763121565,512
8,0.1,5,S,0.94,0.9538596140692316,0.01385961406923164,512
8,0.1,10,T,0.78,0.8485193490767144,0.06851934907671442,512
8,0.1,10,S,0.855,0.876660607703224,0.021660607703223977,512
8,0.1,20,T,0.595,0.609778277320787,0.01477827732078707,512
8,0.1,20,S,0.64,0.6743077872382246,0.034307787238224585,512
8,0.2,5,T,0.765,0.8911589390721313,0.12615893907213127,512
8,0.2,5,S,0.915,0.9523305743936233,0.037330574393623306,512
8,0.2,10,T,0.61,0.6976980625754654,0.08769806257546542,512
8,0.2,10,S,0.795,0.8744847441895622,0.0794847441895622,512
8,0.2,20,T,0.39,0.38908575377760013,-0.0009142462223998837,512
8,0.2,20,S,0.55,0.6768292881720989,0.12682928817209882,512
8,0.3,5,T,0.68,0.7490013381207657,0.0690013381207657,512
8,0.3,5,S,0.86,0.939058355179708,0.07905835517970805,512
8,0.3,10,T,0.48,0.4496504694826411,-0.03034953051735889,512
8,0.3,10,S,0.715,0.8472489211429146,0.13224892114291464,512
8,0.3,20,T,0.235,0.21058827586078796,-0.024411724139212027,512
8,0.3,20,S,0.465,0.6543415729348184,0.1893415729348184,512
8,0.4,5,T,0.67,0.6452732516867505,-0.024726748313249503,512
8,0.4,5,S,0.765,0.8898258884244643,0.12482588842446429,512
8,0.4,10,T,0.4,0.3569678822442982,-0.043032117755701815,512
8,0.4,10,S,0.6,0.7555915023424257,0.1555915023424257,512
8,0.4,20,T,0.15,0.1000634847786538,-0.04993651522134619,512
8,0.4,20,S,0.4,0.5426428108677736,0.14264281086777353,512
8,0.5,5,T,0.66,0.6551938760246925,-0.004806123975307552,512
8,0.5,5,S,0.66,0.7828305486387479,0.12283054863874787,512
8,0.5,10,T,0.385,0.39388104206867236,0.008881042068672351,512
8,0.5,10,S,0.49,0.6287860512922092,0.13878605129220922,512
8,0.5,20,T,0.14,0.07942346427024924,-0.060576535729750774,512
8,0.5,20,S,0.35,0.44130582055802714,0.09130582055802716,512
8,0.6,5,T,0.55,0.6249667264130832,0.0749667264130831,512
8,0.6,5,S,0.56,0.6374759014699855,0.0774759014699854,512
8,0.6,10,T,0.33,0.34920446889264245,0.019204468892642435,512
8,0.6,10,S,0.395,0.531569023197836,0.13656902319783604,512
