f_number,reference_height_fraction,frequency_lp_mm,direction,reference,model,model_minus_reference,sampling
22,0.4,5,T,0.875,0.8790412457301893,0.004041245730189269,512
22,0.4,5,S,0.905,0.9086330052642526,0.0036330052642525867,512
22,0.4,10,T,0.73,0.7433120373589778,0.01331203735897779,512
22,0.4,10,S,0.815,0.8092726177176741,-0.0057273822823258325,512
22,0.4,20,T,0.455,0.4823626084107269,0.027362608410726907,512
22,0.4,20,S,0.635,0.6149035649071156,-0.02009643509288439,512
22,0.5,5,T,0.85,0.8528014610446446,0.0028014610446446264,512
22,0.5,5,S,0.9,0.8963420926470734,-0.0036579073529265926,512
22,0.5,10,T,0.69,0.6880137960563909,-0.001986203943609044,512
22,0.5,10,S,0.81,0.7765457237038136,-0.03345427629618647,512
22,0.5,20,T,0.39,0.3947551615742354,0.004755161574235389,512
22,0.5,20,S,0.62,0.5488955281955227,-0.07110447180447732,512
22,0.6,5,T,0.81,0.8194101986777383,0.00941019867773829,512
22,0.6,5,S,0.89,0.884814877736514,-0.005185122263485997,512
22,0.6,10,T,0.62,0.6224075261916372,0.0024075261916371993,512
22,0.6,10,S,0.8,0.7478345079102788,-0.05216549208972121,512
22,0.6,20,T,0.305,0.30909434908656447,0.004094349086564475,512
22,0.6,20,S,0.6,0.4978721671991624,-0.10212783280083759,512
22,0.68,5,T,0.77,0.7806911424937465,0.010691142493746475,512
22,0.68,5,S,0.885,0.879239150490786,-0.005760849509213961,512
22,0.68,10,T,0.545,0.5504546553527975,0.005454655352797433,512
22,0.68,10,S,0.775,0.7366170058874268,-0.03838299411257318,512
22,0.68,20,T,0.225,0.23146165804607072,0.006461658046070712,512
22,0.68,20,S,0.56,0.4824336174200416,-0.07756638257995846,512
22,0.7,5,T,0.755,0.768328240977768,0.013328240977767969,512
22,0.7,5,S,0.88,0.8784195106245011,-0.001580489375498928,512
22,0.7,10,T,0.52,0.5288008734615703,0.008800873461570324,512
22,0.7,10,S,0.77,0.7355977904520394,-0.03440220954796058,512
22,0.7,20,T,0.2,0.21087616272367074,0.01087616272367073,512
22,0.7,20,S,0.55,0.48194445498862637,-0.06805554501137367,512
22,0.78,5,T,0.73,0.7052281629752327,-0.024771837024767263,512
22,0.78,5,S,0.865,0.876425071573912,0.011425071573912038,512
22,0.78,10,T,0.485,0.42977253410573046,-0.05522746589426952,512
22,0.78,10,S,0.7,0.7358056235900474,0.035805623590047464,512
22,0.78,20,T,0.11,0.12957115955524298,0.01957115955524298,512
22,0.78,20,S,0.43,0.487174323221537,0.05717432322153698,512
22,0.8,5,T,0.715,0.6857971667248549,-0.029202833275145057,512
22,0.8,5,S,0.86,0.8759048679816206,0.015904867981620607,512
22,0.8,10,T,0.46,0.40291106402596666,-0.05708893597403336,512
22,0.8,10,S,0.685,0.7360259179130291,0.05102591791302902,512
22,0.8,20,T,0.09,0.11077032646143513,0.020770326461435132,512
22,0.8,20,S,0.4,0.48866018859086224,0.08866018859086222,512
22,0.9,5,T,0.61,0.5662202418665526,-0.043779758133447366,512
22,0.9,5,S,0.81,0.8679442956020439,0.05794429560204384,512
22,0.9,10,T,0.345,0.2661534236853139,-0.07884657631468606,512
22,0.9,10,S,0.57,0.7253574319926697,0.15535743199266971,512
22,0.9,20,T,0.03,0.036615697083089746,0.006615697083089747,512
22,0.9,20,S,0.28,0.47828100557392117,0.19828100557392114,512
22,1,5,T,0.44,0.40423155656658133,-0.03576844343341867,512
22,1,5,S,0.74,0.8430307043828809,0.10303070438288087,512
22,1,10,T,0.2,0.12171745819643891,-0.0782825418035611,512
22,1,10,S,0.485,0.6783343692383161,0.19333436923831615,512
22,1,20,T,0.03,0.0008922425747233273,-0.029107757425276673,512
22,1,20,S,0.225,0.4266745505025107,0.20167455050251068,512
