f_number,reference_height_fraction,frequency_lp_mm,direction,reference,model,model_minus_reference,sampling
8,0.1,5,S,0.94,0.9520274212470533,0.01202742124705336,512
8,0.1,10,T,0.78,0.8410229849437818,0.06102298494378178,512
8,0.1,10,S,0.855,0.8698592028884826,0.014859202888482637,512
8,0.1,20,T,0.595,0.5877819818813794,-0.0072180181186205505,512
8,0.1,20,S,0.64,0.6545155967271244,0.014515596727124436,512
8,0.2,5,T,0.765,0.886427529600475,0.12142752960047498,512
8,0.2,5,S,0.915,0.9483152671628365,0.033315267162836504,512
8,0.2,10,T,0.61,0.6847563586541042,0.07475635865410424,512
8,0.2,10,S,0.795,0.8600532618245225,0.06505326182452242,512
8,0.2,20,T,0.39,0.3873166523089645,-0.002683347691035509,512
8,0.2,20,S,0.55,0.6358633065927575,0.08586330659275743,512
8,0.3,5,T,0.68,0.7351411886116103,0.055141188611610215,512
8,0.3,5,S,0.86,0.9348339820328827,0.07483398203288272,512
8,0.3,10,T,0.48,0.42166205390491696,-0.058337946095083026,512
8,0.3,10,S,0.715,0.8317017538370982,0.11670175383709824,512
8,0.3,20,T,0.235,0.2334533969381176,-0.0015466030618823956,512
8,0.3,20,S,0.465,0.6083777759072807,0.14337777590728068,512
8,0.4,5,T,0.67,0.61546128226206,-0.05453871773794006,512
8,0.4,5,S,0.765,0.8901973295040245,0.1251973295040245,512
8,0.4,10,T,0.4,0.30119446190643745,-0.09880553809356257,512
8,0.4,10,S,0.6,0.7512551901170403,0.15125519011704036,512
8,0.4,20,T,0.15,0.10440655115689984,-0.045593448843100154,512
8,0.4,20,S,0.4,0.5200089752802094,0.12000897528020937,512
8,0.5,5,T,0.66,0.63001224732892,-0.029987752671080004,512
8,0.5,5,S,0.66,0.7916944100785878,0.13169441007858773,512
8,0.5,10,T,0.385,0.3365856375934507,-0.04841436240654928,512
8,0.5,10,S,0.49,0.6342176058206945,0.14421760582069454,512
8,0.5,20,T,0.14,0.07075293758753223,-0.06924706241246778,512
8,0.5,20,S,0.35,0.4342431037177923,0.08424310371779231,512
8,0.6,5,T,0.55,0.6391667821112896,0.08916678211128959,512
8,0.6,5,S,0.56,0.6521604079012558,0.09216040790125579,512
8,0.6,10,T,0.33,0.3442451164695116,0.014245116469511598,512
8,0.6,10,S,0.395,0.5395152296419271,0.1445152296419271,512
8,0.6,20,T,0.145,0.08248700061831926,-0.06251299938168073,512
8,0.6,20,S,0.275,0.3594003782546484,0.08440037825464836,512
8,0.68,5,T,0.46,0.5868959221926325,0.12689592219263252,512
8,0.68,5,S,0.49,0.5725948371211185,0.08259483712111848,512
8,0.68,10,T,0.275,0.3335038299731733,0.05850382997317327,512
8,0.68,10,S,0.33,0.48116115796429926,0.15116115796429924,512
8,0.68,20,T,0.13,0.12112405309284843,-0.008875946907151572,512
8,0.68,20,S,0.215,0.33192604936455905,0.11692604936455905,512
8,0.7,5,T,0.44,0.5707336341402082,0.13073363414020817,512
8,0.7,5,S,0.47,0.564249211480507,0.09424921148050702,512
